B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,bsi,elev,mndwi,ndbi,ndvi,slope
488.5,2644,1776,570.5,866,967,1353.5,2183.5,2493.5,2389,2718,2804.5,0.099155315,610,-0.506552707,0.050665607,0.423718713,1.32710135
604.5,3568.5,2854.5,794.5,1106,1441,1758.5,2108,2299.5,2439,2580.5,2429,0.215455538,948,-0.52679431,0.188014981,0.257216495,2.119182939
440.5,2478.5,2000.5,573.5,735,902,1145,1373,1546.5,1608,1759.5,1816,0.215569939,768,-0.542554847,0.213018475,0.2812749,5.093099965
348.5,2553.5,1694,422,627,805.5,1278.5,1871,2149.5,2176,2378.5,2441.5,0.127748867,922,-0.605722371,0.079818163,0.459667952,2.938650001
647,4067,3212,894,1288,1890,2229,2497,2697,2874,3018,2998,0.225089974,862,-0.518954248,0.171877251,0.206549118,0.927409937
452,3396,2373,595.5,841.5,1117,1473.5,2002.5,2199,2255,2529,2538,0.225775786,832,-0.602831858,0.201911166,0.337485172,7.17102623
446,2543,1717,612,961,1116,1480,1997,2237,2430,2416,2816,0.09207581,735,-0.451484018,0.022722703,0.370558376,2.115120649
384.5,2707,1866.5,500,681.5,926,1160.5,1458,1650,1780,1951.5,2010.5,0.228817859,702,-0.59775712,0.206596835,0.315594974,7.769001863
415.5,2260.5,1471,389.5,702.5,599,1193,1795.5,2100.5,2180,2311,2672,0.053416836,892,-0.525818427,0.018128589,0.56890968,3.403391909
991,2876,2795,1122,1392,1566,1890,1988,2111,1935,2261,2318,0.184691292,698,-0.347703843,0.195593432,0.105398458,1.328046322
468,3358.5,2373.5,624,912,1245,1737.5,2086,2295.5,2349,2632.5,2608,0.21520491,915,-0.572883737,0.176872536,0.307178631,0
610,3127,2727.5,754,1049,1399,1644.5,2113.5,2293,2436,2512,2483.5,0.173146708,676,-0.497605364,0.124213554,0.270404172,7.569385232
706,4369.5,3332.5,860.5,1299,2155.5,2450,2651.5,2822.5,2795.5,2887.5,2875,0.28179943,864,-0.541677693,0.219678995,0.129266815,3.401660681
793.5,3404.5,2647.5,666.5,1037,1373.5,1881,2554,2812.5,2679,2967.5,3085,0.176340247,718,-0.533040639,0.119257007,0.322146823,2.115346076
430.5,3375,2457.5,668,1019,1204.5,1559.5,1945,2140,2381.5,2489,2384,0.200550531,881,-0.536185708,0.17258751,0.328220859,3.803659678
374.5,2281,1519.5,425.5,654,734,1099.5,1805,2013.5,1840,2308,2212,0.141937317,868,-0.554344123,0.107012861,0.42968143,8.687706947
959,2296,1894,845,1060,1016,1745,2478,2746,2733,2744,2403,-0.038606676,884,-0.36829559,-0.086896003,0.457988797,3.400660038
533,3046,2219,664,1060,1475,1693,2246,2449,2670,2684,2692,0.15111394,870,-0.483682416,0.065780266,0.288299156,3.704791784
387,2642,1668,418,713,782,1355,2106,2390,2304,2650,2679,0.114220631,732,-0.574962742,0.068338051,0.493195075,12.61452627
611.5,2710,2084.5,630.5,782.5,891.5,1301.5,1661.5,1883.5,1864,2089.5,2268,0.181594488,765,-0.551896922,0.184958461,0.352930503,3.366852045
606,3000,1885.5,506.5,807.5,773,1289,2636.5,3186,3117.5,3425,3071.5,0.020143301,672,-0.575837163,-0.019207192,0.602621771,2.114075812
523,3554,2726,600,933,1392,1554,2186,2441,2685,2639,2915,0.20179808,974,-0.584131937,0.139285142,0.31714496,4.829381636
438,2759,2207,652,966,1154,1407,1793,1981,2076,2229,2228,0.178436982,735,-0.481342282,0.141261634,0.285448916,10.61733055
441.5,3513.5,2689,574,905,1477,1874.5,2342.5,2545,2503.5,2685.5,2859,0.237109569,666,-0.590358719,0.167857736,0.257882176,3.704791834
498,2585,1864,526,809,864,1385,2243,2550,2706,2856,2807,0.032480168,667,-0.52327637,-0.022869023,0.515966387,2.114307425
1404,3569,2785,1676,2216,2688,2948,3206,3247,2918,3333,3459,0.153257764,880,-0.233880726,0.100354555,0.041027471,2.656682968
551,2894,2155.5,689,923,1145,1521.5,1881,2109,2219,2430.5,2498,0.162804088,776,-0.516374116,0.132016429,0.319262782,7.177449135
669,3232.5,2603.5,1031,1358,1619.5,2014.5,2386.5,2622.5,2523,2787,2807.5,0.154413514,898,-0.408343318,0.123273391,0.218105009,4.835207466
514,2235,1641,462,695,791,1232,1603,1762,1897,1994,2092,0.123862581,731,-0.52559727,0.081800581,0.411458333,17.37369591
422.5,3295,2350,578,867,1049,1642,2411.5,2650.5,2714.5,2933.5,2936,0.13769397,581,-0.583373378,0.096597055,0.442540189,2.112673469
347,2640,2021,467,743,1086,1393,1626,1757,1674,1898,2224,0.270155105,894,-0.560744901,0.223922114,0.213043478,1.329694003
511,3882,3145,656,1080,1774,2073,2366,2537,2618,2713,2673,0.266741321,897,-0.564691657,0.194461538,0.192167577,3.002132995
460,3458,2582.5,668,972,1296,1657.5,2093,2308,2483,2650,2314.5,0.202783049,867,-0.561173815,0.164113786,0.31410426,0.927409937
402,2620,1779,424,743,784,1384,2547,2955,2805,3247,2426,0.026383235,712,-0.55813262,-0.034101382,0.563109501,3.366895914
504.5,3159,2297,467.5,751.5,790,1489,2125.5,2295,2581.5,2546.5,2677,0.128608174,695,-0.615650173,0.100600993,0.531365861,2.937770614
424,3107,2036.5,547,783.5,951,1367,1884.5,2176,2210,2526,2687,0.190902421,935,-0.597224007,0.168704156,0.39829168,1.329493158
565,3171,2493,710,955,1339,1618,1894,2118,2270,2424,2384,0.204272363,934,-0.53708192,0.16559456,0.257966196,1.327939261
542,3411,2635,787.5,1233,1689,1929,2484.5,2752.5,2976,2942.5,2844.5,0.150786935,743,-0.468992248,0.068107093,0.275884244,3.366566896
701,2582,1909,677,940,1064,1471,2306,2496,2580,2631,2888,0.056352311,898,-0.466212379,3.87E-04,0.416026345,1.90468676
542,2899,2136.5,718.5,943,1291,1475,1862,2092.5,2209.5,2323.5,2336.5,0.177296994,800,-0.509109839,0.134971127,0.262391087,2.11669445
448,2635,1881,590,894,1132,1346,2137,2424,2459,2627,2633,0.105340376,893,-0.49334089,0.034550452,0.369534948,1.329048157
626,3465,2436.5,923.5,1344,1699.5,2026,3059,3367,3437,3608.5,3484.5,0.084409449,778,-0.441048035,0.004056795,0.338265356,4.227600113
799.5,4410.5,3533.5,987,1519,2240,2678,2951.5,3146,3217.5,3327.5,3279,0.225333947,719,-0.487646513,0.156397483,0.179111315,2.937879324
734,4732,3837,1056,1488,2067,2544,2807,3033,3032,3243,3074,0.249012584,852,-0.521543408,0.218959299,0.189252795,0.927409947
486,2786,2320,620,897,1116,1304,1961,2233,2292,2416,2598,0.145289111,912,-0.512897095,0.097282395,0.345070423,0.927409937
445,2315.5,1942,516,683,837,1089,1369,1528,1549,1717,1739.5,0.208433158,760,-0.544438886,0.1983439,0.298407376,9.217253685
528,2996,2505,625,869,1274,1648,1873,2031,2115,2223,2277,0.218259629,948,-0.550323415,0.172373312,0.248155798,2.938462609
510.5,3329.5,2582.5,674,917.5,1200,1493,1822.5,2060,2189,2438,2566.5,0.22543118,892,-0.567930304,0.206668479,0.291826497,0.927409937
956.5,2591,2277.5,1049,1323,1469,1565.5,2008,2218,2102,2345,2510.5,0.126057412,704,-0.323965253,0.104197741,0.177261271,1.854334169
447.5,2197,1445.5,503.5,719,774,1144.5,1719,1941.5,1959.5,2129,2108.5,0.093485462,933,-0.506858711,0.05713942,0.433693067,12.80226296
444,3149,2810,525,820.5,1450,1714,1842.5,1972.5,1928,2047.5,2164.5,0.304310834,929,-0.586597808,0.240496356,0.141503848,2.657520411
467,3595,2697,675,950.5,1368,1679.5,1989.5,2163,2196,2424.5,2414.5,0.267041103,924,-0.581784182,0.241581765,0.232323232,2.118862424
458.5,2830.5,1862,560.5,767.5,998.5,1391.5,1797,1979.5,2109,2338,2400.5,0.178425791,942,-0.573374097,0.146067416,0.357361223,0.952975382
602,3803,2974,848,1322,2036,2243,2573,2784,2840,2983,3015,0.225779364,885,-0.484097561,0.144964624,0.164889253,0.927409947
444.5,2709.5,2342,650,867.5,1110.5,1312,1571.5,1706.5,1825.5,1939,1975.5,0.213565245,791,-0.514956668,0.194928335,0.24352861,13.05700424
658,4054,3246,932,1432,1998,2246,2373,2580,2676,2768,2753,0.25300207,907,-0.477943857,0.204754829,0.145057766,0
638,3836,3108,754,1134,1692,2064,2299,2513,2577,2736,2738,0.247996388,902,-0.543661972,0.196319975,0.207308503,1.329233938
739,4175,3846,2184,1606,1592,1617,1918,3251,3072,3392,2726,0.046357616,614,-0.444386784,0.152200911,0.317324185,3.904772043
864,2996,2461,1080,1418,1820,1986,2366,2549,2562,2679,2436,0.1388035,935,-0.357498867,0.078085642,0.169329073,1.329422355
460,2603,1800,553,783,1058,1252,1674,1844,1970,2118,2199,0.184023286,827,-0.537507383,0.138421168,0.301188904,8.341997147
404,3127,2254,418.5,728,866.5,1583.5,2081.5,2330,2563,2482,2526,0.145089606,925,-0.62230869,0.099121265,0.494678525,2.658128048
1104,2641,2524,1262,1516,1668,1980,2117,2195,2024,2238,2402,0.134693878,885,-0.270627857,0.132261522,0.096424702,4.746805191
